sampleRateHz,attenuationDb,M,tapCount,feasible,worstStopbandDb,rPeakPercent,settlingSampleSpan,settlingMs,taps
192000,0.23,13,27,1,-94.9934,0.683594,22,0.114583,"-0.000237899;5.45771e-05;-0.00184276;0.0035469;0.0035469;-0.0023864;-0.0035469;-0.0035469;-0.0035469;-0.0035469;-0.0035469;-0.0035469;0.25917;0.51886;0.25917;-0.0035469;-0.0035469;-0.0035469;-0.0035469;-0.0035469;-0.0035469;-0.0023864;0.0035469;0.0035469;-0.00184276;5.45771e-05;-0.000237899"
192000,0.24,13,27,1,-94.9959,0.683594,22,0.114583,"5.31496e-05;-0.000111699;-0.00224277;0.00354401;0.00354401;-0.00201475;-0.00354401;-0.00354401;-0.00354401;-0.00354401;-0.00354401;-0.00354401;0.259273;0.518438;0.259273;-0.00354401;-0.00354401;-0.00354401;-0.00354401;-0.00354401;-0.00354401;-0.00201475;0.00354401;0.00354401;-0.00224277;-0.000111699;5.31496e-05"
192000,0.26,13,27,1,-94.9941,0.585938,26,0.135417,"-0.0030425;0.00290857;0.0030425;-0.000361001;0.00157991;-0.0030425;-0.0030425;-0.0030425;-0.0030425;-0.0030425;-0.0030425;-0.0030425;0.257543;0.519254;0.257543;-0.0030425;-0.0030425;-0.0030425;-0.0030425;-0.0030425;-0.0030425;-0.0030425;0.00157991;-0.000361001;0.0030425;0.00290857;-0.0030425"
192000,0.27,13,27,1,-94.9948,0.585938,26,0.135417,"-0.00193352;0.000511109;0.000509963;0.00303028;0.00303028;-0.00303028;-0.00303028;-0.00303028;-0.00303028;-0.00303028;-0.00303028;-0.00303028;0.25748;0.517168;0.25748;-0.00303028;-0.00303028;-0.00303028;-0.00303028;-0.00303028;-0.00303028;-0.00303028;0.00303028;0.00303028;0.000509963;0.000511109;-0.00193352"
192000,0.28,13,27,1,-94.9983,0.585938,26,0.135417,"-0.000737812;0.0013916;0.00301949;0.00301949;-0.00140005;-0.00301949;-0.00301949;-0.00301949;-0.00301949;-0.00301949;-0.00301949;-0.00301949;0.258181;0.515326;0.258181;-0.00301949;-0.00301949;-0.00301949;-0.00301949;-0.00301949;-0.00301949;-0.00301949;-0.00140005;0.00301949;0.00301949;0.0013916;-0.000737812"
192000,0.29,13,27,1,-94.9976,0.585938,24,0.125,"-0.000318082;0.00181736;0.00301442;0.00301442;-0.00160102;-0.00301442;-0.00301442;-0.00301442;-0.00301442;-0.00301442;-0.00301442;-0.00301442;0.257943;0.514461;0.257943;-0.00301442;-0.00301442;-0.00301442;-0.00301442;-0.00301442;-0.00301442;-0.00301442;-0.00160102;0.00301442;0.00301442;0.00181736;-0.000318082"
192000,0.31,13,27,1,-94.9971,0.585938,24,0.125,"-6.18827e-05;0.00300005;0.00300005;0.00300005;-2.9752e-05;-0.00300005;-0.00300005;-0.00300005;-0.00300005;-0.00300005;-0.00300005;-0.00300005;0.256087;0.512009;0.256087;-0.00300005;-0.00300005;-0.00300005;-0.00300005;-0.00300005;-0.00300005;-0.00300005;-2.9752e-05;0.00300005;0.00300005;0.00300005;-6.18827e-05"
192000,0.32,13,27,1,-94.9998,0.585938,26,0.135417,"0.00094671;0.00299995;0.00299995;0.00299995;-0.00197535;-0.00299995;-0.00299995;-0.00299995;-0.00299995;-0.00299995;-0.00299995;-0.00299995;0.257033;0.511991;0.257033;-0.00299995;-0.00299995;-0.00299995;-0.00299995;-0.00299995;-0.00299995;-0.00299995;-0.00197535;0.00299995;0.00299995;0.00299995;0.00094671"
192000,0.33,13,27,1,-95,0.585938,26,0.135417,"0.0014539;0.00278515;0.00160545;0.00300256;-0.0013212;-0.00300256;-0.00300256;-0.00300256;-0.00300256;-0.00300256;-0.00300256;-0.00300256;0.257274;0.512436;0.257274;-0.00300256;-0.00300256;-0.00300256;-0.00300256;-0.00300256;-0.00300256;-0.00300256;-0.0013212;0.00300256;0.00160545;0.00278515;0.0014539"
192000,0.34,13,27,1,-94.9952,0.488281,26,0.135417,"-0.00222805;0.000433028;0.00251078;0.00251078;0.000138523;-0.00251078;-0.00251078;-0.00251078;-0.00251078;-0.00251078;-0.00251078;-0.00251078;0.257107;0.514208;0.257107;-0.00251078;-0.00251078;-0.00251078;-0.00251078;-0.00251078;-0.00251078;-0.00251078;0.000138523;0.00251078;0.00251078;0.000433028;-0.00222805"
